,messagenumber,typeOfLevel,level,parameterName,nameOfFirstFixedSurface,nameOfSecondFixedSurface,shortNameECMF,shortName,nameECMF,name,cfNameECMF,cfName,cfVarNameECMF,cfVarName
1124,1125,unknown,261,205,Isothermal level,Isothermal level,unknown,layth,unknown,Layer Thickness,unknown,unknown,unknown,unknown
1125,1126,heightAboveGroundLayer,0,205,Specified height level above ground,Specified height level above ground,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1126,1127,atmosphere,0,242,Entire atmosphere,Missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1127,1128,surface,0,"Land cover (0=land, 1=sea)",Ground or water surface,Missing,lsm,lsm,Land-sea mask,Land-sea mask,land_binary_mask,land_binary_mask,lsm,lsm
1128,1129,surface,0,Ice cover,Ground or water surface,Missing,ci,ci,Sea ice area fraction,Sea ice area fraction,sea_ice_area_fraction,sea_ice_area_fraction,siconc,siconc
1129,1130,nominalTop,0,1,Nominal top of the atmosphere,Missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1130,1131,nominalTop,0,2,Nominal top of the atmosphere,Missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1131,1132,nominalTop,0,7,Nominal top of the atmosphere,Missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1132,1133,nominalTop,0,8,Nominal top of the atmosphere,Missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1133,1134,depthBelowLandLayer,0,Soil temperature,Depth below land surface,Depth below land surface,st,st,Soil Temperature,Soil Temperature,unknown,unknown,st,st
1134,1135,depthBelowLandLayer,0,192,Depth below land surface,Depth below land surface,unknown,soilw,unknown,Volumetric soil moisture content,unknown,unknown,unknown,unknown
1135,1136,depthBelowLandLayer,0,Soil temperature,Depth below land surface,Depth below land surface,st,st,Soil Temperature,Soil Temperature,unknown,unknown,st,st
1136,1137,depthBelowLandLayer,0,192,Depth below land surface,Depth below land surface,unknown,soilw,unknown,Volumetric soil moisture content,unknown,unknown,unknown,unknown
1137,1138,depthBelowLandLayer,0,Soil temperature,Depth below land surface,Depth below land surface,st,st,Soil Temperature,Soil Temperature,unknown,unknown,st,st
1138,1139,depthBelowLandLayer,0,192,Depth below land surface,Depth below land surface,unknown,soilw,unknown,Volumetric soil moisture content,unknown,unknown,unknown,unknown
1139,1140,depthBelowLandLayer,0,Soil temperature,Depth below land surface,Depth below land surface,st,st,Soil Temperature,Soil Temperature,unknown,unknown,st,st
